idOrder,scheduleDate,deliveryDate,diffDays,diffHours,provider,shippingDateSelectedByUser
1947727,2021-08-02 08:08:00,2021-08-03 10:08:00,1,25,800149695,2021-08-04
1947729,2021-08-02 08:08:00,2021-08-03 06:08:00,0,21,800149695,2021-08-04
1947733,2021-08-02 08:08:00,2021-08-04 17:08:00,2,56,800149695,2021-08-04
1947746,2021-08-02 08:08:00,2021-08-04 17:08:00,2,56,800149695,2021-08-04
1960475,2021-08-04 09:08:00,2021-08-06 21:08:00,2,60,800149695,2021-08-06
1960480,2021-08-04 09:08:00,2021-08-06 21:08:00,2,60,800149695,2021-08-06
1960484,2021-08-04 09:08:00,2021-08-07 03:08:00,2,66,800149695,2021-08-06
1960486,2021-08-04 09:08:00,2021-08-06 21:08:00,2,60,800149695,2021-08-06
1960492,2021-08-04 09:08:00,2021-08-06 21:08:00,2,60,800149695,2021-08-06
1960504,2021-08-04 09:08:00,2021-08-06 21:08:00,2,60,800149695,2021-08-06
1960508,2021-08-04 09:08:00,2021-08-07 03:08:00,2,66,800149695,2021-08-06
1960511,2021-08-04 09:08:00,2021-08-06 21:08:00,2,60,800149695,2021-08-06
1960515,2021-08-04 09:08:00,2021-08-06 21:08:00,2,60,800149695,2021-08-06
1960521,2021-08-04 09:08:00,2021-08-06 21:08:00,2,60,800149695,2021-08-06
1960525,2021-08-04 09:08:00,2021-08-06 21:08:00,2,60,800149695,2021-08-06
1960528,2021-08-04 09:08:00,2021-08-06 21:08:00,2,60,800149695,2021-08-06
1960561,2021-08-04 09:08:00,2021-08-07 03:08:00,2,65,800149695,2021-08-06
1960591,2021-08-04 09:08:00,2021-08-06 05:08:00,1,43,800149695,2021-08-06
1960601,2021-08-04 09:08:00,2021-08-06 05:08:00,1,43,800149695,2021-08-06
1960602,2021-08-04 09:08:00,2021-08-06 21:08:00,2,60,800149695,2021-08-06
1960627,2021-08-04 09:08:00,2021-08-06 21:08:00,2,60,800149695,2021-08-06
1960630,2021-08-04 09:08:00,2021-08-06 21:08:00,2,60,800149695,2021-08-06
1960637,2021-08-04 09:08:00,2021-08-07 03:08:00,2,65,800149695,2021-08-06
1960653,2021-08-04 09:08:00,2021-08-06 21:08:00,2,60,800149695,2021-08-06
1960654,2021-08-04 09:08:00,2021-08-06 21:08:00,2,60,800149695,2021-08-06
1960672,2021-08-04 09:08:00,2021-08-06 21:08:00,2,60,800149695,2021-08-06
1960675,2021-08-04 09:08:00,2021-08-06 21:08:00,2,60,800149695,2021-08-06
1960677,2021-08-04 09:08:00,2021-08-06 21:08:00,2,60,800149695,2021-08-06
1960692,2021-08-04 09:08:00,2021-08-06 21:08:00,2,60,800149695,2021-08-06
1960702,2021-08-04 09:08:00,2021-08-06 21:08:00,2,60,800149695,2021-08-06
1960705,2021-08-04 09:08:00,2021-08-06 21:08:00,2,60,800149695,2021-08-06
1960723,2021-08-04 09:08:00,2021-08-06 21:08:00,2,60,800149695,2021-08-06
1960746,2021-08-04 09:08:00,2021-08-06 21:08:00,2,59,800149695,2021-08-06
1960757,2021-08-04 09:08:00,2021-08-06 21:08:00,2,59,800149695,2021-08-06
1960763,2021-08-04 09:08:00,2021-08-06 21:08:00,2,59,800149695,2021-08-06
1960782,2021-08-04 09:08:00,2021-08-06 21:08:00,2,59,800149695,2021-08-06
1960793,2021-08-04 10:08:00,2021-08-06 21:08:00,2,59,800149695,2021-08-06
1960804,2021-08-04 10:08:00,2021-08-06 21:08:00,2,59,800149695,2021-08-06
1960814,2021-08-04 10:08:00,2021-08-06 21:08:00,2,59,800149695,2021-08-06
1960854,2021-08-04 10:08:00,2021-08-06 21:08:00,2,59,800149695,2021-08-06
1960856,2021-08-04 10:08:00,2021-08-07 03:08:00,2,65,800149695,2021-08-06
1960904,2021-08-04 10:08:00,NN,NN,NN,800149695,2021-08-06
1960928,2021-08-04 10:08:00,2021-08-06 21:08:00,2,59,800149695,2021-08-06
1960936,2021-08-04 10:08:00,2021-08-06 05:08:00,1,43,800149695,2021-08-06
1960942,2021-08-04 10:08:00,2021-08-06 21:08:00,2,59,800149695,2021-08-06
1960948,2021-08-04 10:08:00,2021-08-06 05:08:00,1,43,800149695,2021-08-06
1960960,2021-08-04 10:08:00,2021-08-06 21:08:00,2,59,800149695,2021-08-06
1960961,2021-08-04 10:08:00,2021-08-06 21:08:00,2,59,800149695,2021-08-06
1960967,2021-08-04 10:08:00,2021-08-06 05:08:00,1,43,800149695,2021-08-06
1960968,2021-08-04 10:08:00,2021-08-06 21:08:00,2,59,800149695,2021-08-06
1960977,2021-08-04 10:08:00,2021-08-06 21:08:00,2,59,800149695,2021-08-06
1960984,2021-08-04 10:08:00,2021-08-06 05:08:00,1,43,800149695,2021-08-06
1961008,2021-08-04 10:08:00,2021-08-06 21:08:00,2,59,800149695,2021-08-06
1961015,2021-08-04 10:08:00,2021-08-06 21:08:00,2,59,800149695,2021-08-06
1961023,2021-08-04 10:08:00,2021-08-06 21:08:00,2,59,800149695,2021-08-06
1961026,2021-08-04 10:08:00,2021-08-06 05:08:00,1,43,800149695,2021-08-06
1961055,2021-08-04 10:08:00,2021-08-06 21:08:00,2,59,800149695,2021-08-06
1961066,2021-08-04 10:08:00,2021-08-06 21:08:00,2,59,800149695,2021-08-06
1961067,2021-08-04 10:08:00,2021-08-06 21:08:00,2,59,800149695,2021-08-06
1961069,2021-08-04 10:08:00,2021-08-06 21:08:00,2,59,800149695,2021-08-06
1961075,2021-08-04 10:08:00,2021-08-06 21:08:00,2,59,800149695,2021-08-06
1961079,2021-08-04 10:08:00,2021-08-06 21:08:00,2,59,800149695,2021-08-06
1961085,2021-08-04 10:08:00,2021-08-07 03:08:00,2,65,800149695,2021-08-06
1961087,2021-08-04 10:08:00,2021-08-06 21:08:00,2,59,800149695,2021-08-06
1961089,2021-08-04 10:08:00,2021-08-06 21:08:00,2,59,800149695,2021-08-06
1961091,2021-08-04 10:08:00,2021-08-06 21:08:00,2,59,800149695,2021-08-06
1961120,2021-08-04 10:08:00,2021-08-06 21:08:00,2,59,800149695,2021-08-06
1961153,2021-08-04 10:08:00,2021-08-06 21:08:00,2,59,800149695,2021-08-06
1961158,2021-08-04 10:08:00,2021-08-06 21:08:00,2,59,800149695,2021-08-06
1961173,2021-08-04 10:08:00,2021-08-06 05:08:00,1,43,800149695,2021-08-06
1961189,2021-08-04 10:08:00,2021-08-06 21:08:00,2,59,800149695,2021-08-06
1961202,2021-08-04 10:08:00,2021-08-06 21:08:00,2,59,800149695,2021-08-06
1961206,2021-08-04 10:08:00,NN,NN,NN,800149695,2021-08-06
